nconst,primaryName,birthYear
nm0000367,Gérard Depardieu,1948
nm0000368,Laura Dern,1967
nm0000369,Matt Dillon,1964
nm0000372,Amanda Donohoe,1962
nm0000373,Michael Dorn,1952
nm0000375,Robert Downey Jr.,1965
nm0000376,Fran Drescher,1957
nm0000378,Minnie Driver,1970
nm0000379,Kirsten Dunst,1982
nm0000380,Robert Duvall,1931
nm0000381,Anthony Edwards,1962
nm0000382,Atom Egoyan,1960
nm0000383,Jennifer Ehle,1969
nm0000384,Danny Elfman,1953
nm0000386,Roland Emmerich,1955
nm0000387,Robert Englund,1947
nm0000389,Emilio Estevez,1962
nm0000391,Rupert Everett,1959
nm0000392,Morgan Fairchild,1950
nm0000393,Peter Falk,1927
nm0000396,Farrah Fawcett,1947
nm0000399,David Fincher,1962
nm0000401,Laurence Fishburne,1961
nm0000402,Carrie Fisher,1956
nm0000404,Jane Fonda,1937
nm0000406,John Ford,1894
nm0000407,Vivica A. Fox,1964
nm0000410,Stephen Fry,1957
nm0000411,Edward Furlong,1977
nm0000412,Andy Garcia,1956
nm0000413,Janeane Garofalo,1964
nm0000416,Terry Gilliam,1940
nm0000418,Danny Glover,1946
nm0000419,Jean-Luc Godard,1930
nm0000420,Valeria Golino,1965
nm0000421,Cuba Gooding Jr.,1968
nm0000422,John Goodman,1952
nm0000423,Serena Grandi,1958
nm0000424,Hugh Grant,1960
nm0000425,Peter Greenaway,1942
nm0000428,D.W. Griffith,1875
nm0000429,Melanie Griffith,1957
nm0000430,Steve Guttenberg,1958
nm0000431,Taylor Hackford,1944
nm0000434,Mark Hamill,
nm0000435,Daryl Hannah,1960
nm0000437,Woody Harrelson,1961
nm0000439,Neil Patrick Harris,1973
nm0000441,Noah Hathaway,1971
nm0000442,Rutger Hauer,1944
nm0000443,Goldie Hawn,1945
nm0000445,Dan Hedaya,1940
nm0000446,Mariel Hemingway,1961
nm0000448,Lance Henriksen,1940
nm0000449,Natasha Henstridge,1974
nm0000450,Philip Seymour Hoffman,1967
nm0000451,Gaby Hoffmann,1982
nm0000452,Lauren Holly,
nm0000453,Ian Holm,1931
nm0000454,Dennis Hopper,1936
nm0000457,John Hurt,1940
nm0000458,William Hurt,1950
nm0000459,Timothy Hutton,1960
nm0000460,Jeremy Irons,1948
nm0000461,Michael Ironside,1950
nm0000463,Famke Janssen,1964
nm0000464,Jim Jarmusch,1953
nm0000465,Ron Jeremy,1953
nm0000466,Jean-Pierre Jeunet,1953
nm0000467,Don Johnson,1949
nm0000469,James Earl Jones,1931
nm0000472,Boris Karloff,1887
nm0000474,Michael Keaton,1951
nm0000475,Patsy Kensit,1968
nm0000476,Sally Kirkland,1941
nm0000478,Tawny Kitaen,1961
nm0000480,Elias Koteas,1961
nm0000481,Alice Krige,1954
nm0000482,Sylvia Kristel,1952
nm0000483,Christopher Lambert,1957
nm0000484,John Landis,1950
nm0000485,Fritz Lang,1890
nm0000486,Heather Langenkamp,1964
nm0000487,Ang Lee,1954
nm0000488,Brandon Lee,1965
nm0000489,Christopher Lee,1922
nm0000490,Spike Lee,1957
nm0000491,John Leguizamo,1960
nm0000492,Jennifer Jason Leigh,1962
nm0000493,Jack Lemmon,1925
nm0000496,Juliette Lewis,1973
nm0000498,Matthew Lillard,1970
nm0000499,Bai Ling,
nm0000500,Richard Linklater,1960
nm0000501,Ray Liotta,1954
nm0000502,Christopher Lloyd,1938
nm0000504,Amy Locane,
nm0000507,Rob Lowe,1964
nm0000508,Carey Lowell,1961
nm0000509,Bela Lugosi,1882
nm0000510,Andie MacDowell,1958
nm0000511,Shirley MacLaine,1934
nm0000514,Michael Madsen,1957
nm0000515,Virginia Madsen,1961
nm0000516,Lee Majors,1939
nm0000518,John Malkovich,1953
nm0000519,David Mamet,1947
nm0000521,Sophie Marceau,1966
nm0000525,Heather Matarazzo,1982
nm0000526,Samantha Mathis,1970
nm0000527,Walter Matthau,1920
nm0000528,Mathilda May,1965
nm0000529,Debi Mazar,1964
nm0000530,Andrew McCarthy,1962
nm0000531,Frances McDormand,1957
nm0000532,Malcolm McDowell,1943
nm0000538,Colm Meaney,1953
nm0000539,Dina Meyer,
nm0000540,Russ Meyer,1922
nm0000544,Carmen Miranda,1909
nm0000545,Helen Mirren,1945
nm0000546,Matthew Modine,1959
nm0000549,Roger Moore,1927
nm0000551,Dermot Mulroney,1963
nm0000552,Eddie Murphy,1961
nm0000553,Liam Neeson,1952
nm0000554,Sam Neill,1947
nm0000555,Judd Nelson,1959
nm0000556,Olivia Newton-John,1948
nm0000558,Leslie Nielsen,1926
nm0000559,Leonard Nimoy,1931
nm0000560,Nick Nolte,1941
nm0000562,Jeremy Northam,1961
nm0000564,Peter O'Toole,1932
nm0000565,Lena Olin,1955
nm0000567,George Orwell,1903
nm0000568,Frank Oz,1944
nm0000569,Gwyneth Paltrow,1972
nm0000570,Alan Parker,1944
nm0000571,Mary-Louise Parker,1964
nm0000572,Sarah Jessica Parker,1965
nm0000573,Dolly Parton,1946
nm0000574,Jason Patric,1966
nm0000575,Alexandra Paul,1963
nm0000577,George Peppard,1928
nm0000578,Anthony Perkins,1932
nm0000579,Ron Perlman,1950
nm0000580,Luke Perry,1966
nm0000581,Joseph L. Mankiewicz,1909
nm0000582,Joe Pesci,1943
nm0000583,Wolfgang Petersen,1941
nm0000584,Amanda Peterson,1971
nm0000587,Donald Pleasence,1919
nm0000588,Martha Plimpton,1970
nm0000590,Edgar Allan Poe,1809
nm0000591,Roman Polanski,1933
nm0000592,Pete Postlethwaite,1946
nm0000594,Jason Priestley,1969
nm0000596,Jonathan Pryce,1947
nm0000598,Dennis Quaid,1954
nm0000599,Kathleen Quinlan,1954
nm0000602,Robert Redford,1936
nm0000603,Vanessa Redgrave,1937
nm0000604,John C. Reilly,1965
nm0000605,Brad Renfro,1982
nm0000606,Jean Reno,1948
nm0000607,Paul Reubens,1952
nm0000608,Burt Reynolds,1936
nm0000609,Ving Rhames,1959
nm0000610,Giovanni Ribisi,1974
nm0000612,Denise Richards,1971
nm0000613,Joely Richardson,1965
nm0000614,Alan Rickman,1946
nm0000616,Eric Roberts,1956
nm0000617,Tanya Roberts,1949
nm0000618,Isabella Rossellini,1952
nm0000619,Tim Roth,1961
nm0000620,Mickey Rourke,1952
nm0000621,Kurt Russell,1951
nm0000623,Rene Russo,1954
nm0000627,Greta Scacchi,1960
nm0000628,Johnathon Schaech,1969
nm0000630,Liev Schreiber,1967
nm0000634,Peter Sellers,1925
nm0000636,William Shakespeare,1564
nm0000638,William Shatner,1931
nm0000641,Gary Sinise,1955
nm0000643,Tom Skerritt,1933
nm0000644,Helen Slater,1963
nm0000647,Alan Smithee,
nm0000648,Wesley Snipes,1962
nm0000649,Paul Sorvino,1939
nm0000654,Terence Stamp,1938
nm0000655,Eric Stoltz,
nm0000656,Madeleine Stowe,1958
nm0000657,David Strathairn,1949
nm0000658,Meryl Streep,1949
nm0000659,Barbra Streisand,1942
nm0000660,Tami Stronach,1972
nm0000661,Donald Sutherland,1935
nm0000662,Kiefer Sutherland,1966
nm0000664,Patrick Swayze,1952
nm0000666,Lili Taylor,1967
nm0000667,David Thewlis,1963
nm0000668,Emma Thompson,1959
nm0000670,Lea Thompson,1961
nm0000673,Marisa Tomei,1964
nm0000676,Chris Tucker,1971
nm0000678,Kathleen Turner,1954
nm0000679,Deborah Kara Unger,1966
nm0000680,Casper Van Dien,1968
nm0000682,Paul Verhoeven,1938
nm0000683,Gore Vidal,1925
nm0000685,Jon Voight,1938
nm0000686,Christopher Walken,1943
nm0000690,Lesley Ann Warren,1946
nm0000691,John Waters,1946
nm0000693,Peter Weller,1947
nm0000694,Wim Wenders,1945
nm0000697,Billy Wilder,1906
nm0000698,Gene Wilder,1933
nm0000699,Michael Wincott,1958
nm0000701,Kate Winslet,1975
nm0000702,Reese Witherspoon,1976
nm0000704,Elijah Wood,1981
nm0000705,Robin Wright,1966
nm0000706,Michelle Yeoh,1962
nm0000708,Billy Zane,1966
nm0000710,David Raksin,1912
nm0000714,Willie Aames,1960
nm0000719,F. Murray Abraham,1939
nm0000720,Jim Abrahams,1944
nm0000721,Victoria Abril,1959
nm0000722,Joss Ackland,1928
nm0000726,Maud Adams,1945
nm0000727,Percy Adlon,1935
nm0000728,Mario Adorf,1930
nm0000729,Casey Affleck,1975
nm0000732,Danny Aiello,1933
nm0000733,Anouk Aimée,1932
nm0000734,Eddie Albert,1906
nm0000737,Jane Alexander,1939
nm0000739,Debbie Allen,1950
nm0000742,June Allyson,1917
nm0000743,Néstor Almendros,1930
nm0000744,Maria Conchita Alonso,1955
nm0000745,Carol Alt,1960
nm0000747,Don Ameche,1908
nm0000748,Leon Ames,1902
nm0000759,Paul Thomas Anderson,1970
nm0000761,Bibi Andersson,1935
nm0000762,Anthony Andrews,1948
nm0000763,Dana Andrews,1909
nm0000765,Pier Angeli,1932
nm0000766,Theodoros Angelopoulos,1935
nm0000767,Jean-Hugues Anglade,1955
nm0000768,Francesca Annis,1945
nm0000773,Laura Antonelli,1941
nm0000774,Michelangelo Antonioni,1912
nm0000775,Christina Applegate,1971
nm0000776,Michael Apted,1941
nm0000778,Alfonso Arau,1932
nm0000780,Denys Arcand,1941
nm0000781,Eve Arden,1908
nm0000782,Asia Argento,1975
nm0000783,Dario Argento,1940
nm0000784,Pedro Armendáriz,1912
nm0000786,George Armitage,1942
nm0000788,Gillian Armstrong,1950
nm0000791,Jack Arnold,1912
nm0000792,Tom Arnold,1959
nm0000794,Lewis Arquette,1935
nm0000795,Jean Arthur,1900
nm0000800,Armand Assante,1949
nm0000801,Olivier Assayas,1955
nm0000802,Mary Astor,1906
nm0000803,Christopher Atkins,1961
nm0000804,Stéphane Audran,1932
nm0000805,Claudine Auger,1941
nm0000806,Bille August,1948
nm0000807,Jane Austen,1775
nm0000809,Daniel Auteuil,1950
nm0000811,Frankie Avalon,1940
nm0000813,Tex Avery,1908
nm0000814,John G. Avildsen,1935
nm0000815,Mili Avital,1972
nm0000817,Lew Ayres,1908
nm0000818,Shabana Azmi,1950
nm0000819,Barbara Bach,1946
nm0000820,Burt Bacharach,1928
nm0000821,Amitabh Bachchan,1942
nm0000822,Jim Backus,1913
nm0000823,Angelo Badalamenti,1937
nm0000826,Jane Badler,1953
nm0000829,Stuart Baird,1947
nm0000834,Kathy Baker,1950
nm0000836,Scott Bakula,1954
nm0000837,Bob Balaban,1945
nm0000838,Daniel Baldwin,1960
nm0000840,Lucille Ball,1911
nm0000841,Michael Ballhaus,1935
nm0000842,Martin Balsam,1919
nm0000844,Tamasaburô Bandô,1950
nm0000845,Tallulah Bankhead,1902
nm0000846,Ian Bannen,1928
nm0000849,Javier Bardem,1969
nm0000851,Lex Barker,1919
nm0000852,Jean-Marc Barr,1960
nm0000853,Bruno Barreto,1955
nm0000855,Raymond J. Barry,1939
nm0000857,John Drew Barrymore,1932
nm0000858,John Barrymore,1882
nm0000859,Lionel Barrymore,1878
nm0000860,Paul Bartel,1938
nm0000861,Freddie Bartholomew,1924
nm0000863,Billy Barty,1924
nm0000864,Mikhail Baryshnikov,1948
nm0000865,Richard Basehart,1914
nm0000869,Alan Bates,1934
nm0000870,Kathy Bates,1948
nm0000872,Patrick Bauchau,
nm0000874,Steven Bauer,1956
nm0000875,L. Frank Baum,1856
nm0000876,Noah Baumbach,1969
nm0000877,Lamberto Bava,1944
nm0000878,Mario Bava,1914
nm0000881,Michael Bay,1965
nm0000882,Nathalie Baye,1948
nm0000883,Stephanie Beacham,1947
nm0000884,Jennifer Beals,1963
nm0000888,Meret Becker,1969
nm0000889,Bonnie Bedelia,1948
nm0000890,Noah Beery Jr.,1913
nm0000891,Wallace Beery,1885
nm0000892,Jason Beghe,1960
nm0000893,Ed Begley Jr.,1949
nm0000894,Jean-Jacques Beineix,1946
nm0000896,Harry Belafonte,1927
nm0000897,Ralph Bellamy,1904
nm0000898,Kathleen Beller,1956
nm0000899,Monica Bellucci,1964
nm0000901,Jean-Paul Belmondo,1933
nm0000902,Jim Belushi,1954
nm0000904,William Bendix,1906
nm0000905,Roberto Benigni,1952
nm0000907,Richard Benjamin,1938
nm0000908,David Bennent,1966
nm0000909,Constance Bennett,1904
nm0000910,Joan Bennett,1910
nm0000912,Jack Benny,1894
nm0000914,Robert Benton,1932
nm0000915,Bruce Beresford,1940
nm0000916,Peter Berg,1964
nm0000917,Polly Bergen,1930
nm0000918,Helmut Berger,1944
nm0000919,Senta Berger,1941
nm0000920,Patrick Bergin,1951
nm0000922,Sandahl Bergman,1951
nm0000923,Busby Berkeley,1895
nm0000925,Steven Berkoff,1937
nm0000926,Milton Berle,1908
nm0000927,Irving Berlin,1888
nm0000928,Sandra Bernhard,1955
nm0000930,Elmer Bernstein,1922
nm0000932,Halle Berry,1966
nm0000934,Bernardo Bertolucci,1941
nm0000936,Martine Beswick,1941
nm0000937,Richard Beymer,1939
nm0000938,Daniela Bianchi,1942
nm0000940,Bigas Luna,1946
nm0000942,Theodore Bikel,1924
nm0000945,Jane Birkin,1946
nm0000946,Whit Bissell,1909
nm0000947,Karen Black,1939
nm0000948,Shane Black,1961
nm0000949,Cate Blanchett,1969
nm0000951,Joan Blondell,1906
nm0000953,Peter Bogdanovich,1939
nm0000955,Ward Bond,1903
nm0000957,Jan de Bont,1943
nm0000958,John Boorman,1933
nm0000960,Barry Bostwick,1945
nm0000961,Timothy Bottoms,1951
nm0000962,Carole Bouquet,1957
nm0000963,Stephen Boyd,1931
nm0000964,Charles Boyer,1899
nm0000966,Lorraine Bracco,1954
nm0000968,Sonia Braga,1950
nm0000971,Nicoletta Braschi,1960
nm0000972,Tinto Brass,1933
nm0000973,Benjamin Bratt,
nm0000974,Walter Brennan,1894
nm0000975,Robert Bresson,1901
nm0000977,Beau Bridges,1941
nm0000978,Lloyd Bridges,1913
nm0000980,Jim Broadbent,1949
nm0000982,Josh Brolin,1968
nm0000983,Albert Brooks,1947
nm0000986,Bryan Brown,1947
nm0000987,Jim Brown,1936
nm0000988,Jerry Bruckheimer,1943
nm0000989,Yul Brynner,1920
nm0000990,Betty Buckley,1947
nm0000991,Geneviève Bujold,1942
nm0000992,Billie Burke,1884
nm0000994,Raymond Burr,1917
nm0000995,Ellen Burstyn,1932
nm0000997,Gary Busey,1944
nm0000998,Jake Busey,1971
nm0000999,Red Buttons,1919
nm0001002,Dean Cain,1966
nm0001003,Simon Callow,1949
nm0001004,Billy Campbell,1959
nm0001005,Jane Campion,1954
nm0001006,John Candy,1950
nm0001007,Dyan Cannon,1937
nm0001008,Frank Capra,1897
nm0001010,Capucine,1928
nm0001011,Irene Cara,1959
nm0001012,Claudia Cardinale,1938
nm0001013,Harry Carey Jr.,1921
nm0001015,Robert Carlyle,1961
nm0001016,David Carradine,1936
nm0001017,John Carradine,1906
nm0001018,Keith Carradine,1949
nm0001020,Katrin Cartlidge,1961
nm0001022,Dana Carvey,1955
nm0001024,Nick Cassavetes,1959
nm0001025,Seymour Cassel,1935
nm0001026,Joanna Cassidy,
nm0001028,Maxwell Caulfield,1959
nm0001031,Claude Chabrol,1930
nm0001033,Lon Chaney Jr.,1906
nm0001035,Ben Chaplin,1970
nm0001036,Geraldine Chaplin,1944
nm0001037,Graham Chapman,1941
nm0001039,David Charvet,1972
nm0001040,Joan Chen,1961
nm0001041,Maggie Cheung,1964
nm0001044,Rae Dawn Chong,1961
nm0001046,Julie Christie,1940
nm0001049,Jill Clayburgh,1944
nm0001050,Montgomery Clift,1920
nm0001053,Ethan Coen,1957
nm0001054,Joel Coen,1954
nm0001055,Claudette Colbert,1903
nm0001056,Dabney Coleman,1932
nm0001057,Toni Collette,1972
nm0001058,Joan Collins,1933
nm0001059,Robbie Coltrane,1950
nm0001060,Chris Columbus,1958
nm0001062,Jeffrey Combs,1954
nm0001063,Jeff Conaway,1950
nm0001064,Jason Connery,1963
nm0001067,Jackie Coogan,1914
nm0001069,Bud Cort,1948
nm0001072,Joseph Cotten,1905
nm0001075,Peter Coyote,1941
nm0001076,Joan Crawford,1906
nm0001077,Richard Crenna,1926
nm0001078,Bing Crosby,1903
nm0001079,Scatman Crothers,1910
nm0001081,Cameron Crowe,1957
nm0001083,Jon Cryer,1965
nm0001086,Alan Cumming,1965
nm0001087,Lee Curreri,1961
nm0001088,Peter Cushing,1913
nm0001089,Henry Czerny,1959
nm0001090,Joe D'Amato,1936
nm0001092,Mark Dacascos,
nm0001094,Roald Dahl,1916
nm0001095,Béatrice Dalle,1964
nm0001096,Timothy Dalton,1946
nm0001097,Charles Dance,1946
nm0001099,Jeff Daniels,1955
nm0001100,Blythe Danner,1943
nm0001101,Ted Danson,1947
nm0001102,Joe Dante,1946
nm0001104,Frank Darabont,1959
nm0001108,Robert Davi,1951
nm0001114,Judy Davis,1955
nm0001115,Ossie Davis,1917
nm0001117,Bruce Davison,1946
nm0001119,Yvonne De Carlo,1922
nm0001120,Vittorio De Sica,1901
nm0001123,Dom DeLuise,1933
nm0001124,Cecil B. DeMille,1881
nm0001125,Benicio Del Toro,1967
nm0001128,Alain Delon,1935
nm0001132,Judi Dench,1934
nm0001133,Brian Dennehy,1938
nm0001136,Bruce Dern,1936
nm0001141,Angie Dickinson,1931
nm0001142,Uschi Digard,1948
nm0001149,Richard Donner,1930
nm0001151,Stephen Dorff,1973
nm0001152,Illeana Douglas,1961
nm0001153,Lesley-Anne Down,1954
nm0001154,Michael Dudikoff,
nm0001156,Olympia Dukakis,1931
nm0001157,Patty Duke,1946
nm0001158,Keir Dullea,1936
nm0001159,Faye Dunaway,1941
nm0001160,Adrian Dunbar,1958
nm0001162,Griffin Dunne,1955
nm0001163,Roy Dupuis,1963
nm0001164,Charles Durning,1923
nm0001165,Charles S. Dutton,1951
nm0001166,James Duval,1972
nm0001167,Shelley Duvall,1949
nm0001168,Bob Dylan,1941
nm0001169,George Dzundza,1945
nm0001171,Buddy Ebsen,1908
nm0001172,Christopher Eccleston,1964
nm0001173,Aaron Eckhart,1968
nm0001174,Barbara Eden,
